nombre_articulo,precio,calificacion_promedio,cantidad_calificaciones,descripcion,enlace_articulo
Micrófono Shure PG Alta PGA58-XLR Dinámico Cardioide color negroS,335800,4.7,46,"Recomendado para   grabaciones,  voces,  actuaciones. | Formato:de mano. | Cable de 4.57m. | Conector/es de salida:xlr. | Frecuencia máxima: 16kHz. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: 1 clip.",https://www.mercadolibre.com.co/microfono-shure-pg-alta-pga58-xlr-dinamico-cardioide-color-negros/p/mco16089544
Micrófono Shure SM35-XLR Condensador CardioideS,199000,4.0,1,Recomendado para   actuaciones. | Formato:vincha. | Cable de 1.5m. | Conector/es de salida:xlr. | Frecuencia máxima: 20kHz. | Frecuencia mínima: 40Hz. | Incluye: cable.,https://www.mercadolibre.com.co/microfono-shure-sm35-xlr-condensador-cardioides/p/mco16222565
Micrófono Shure BLX BLX24/SM58 Dinámico Cardioide color negroS,1789000,5.0,8,Recomendado para   voces. | Es inalámbrico. | Formato:de mano. | Cable de 75m. | Conector/es de salida:xlr-3 in. | Frecuencia máxima: 15kHz. | Frecuencia mínima: 50Hz. | Tiene luz LED. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: fuente.,https://www.mercadolibre.com.co/microfono-shure-blx-blx24sm58-dinamico-cardioide-color-negros/p/mco15155448
Micrófono Shure Classic Super 55 Dinámico Supercardioide color plateadoS,210000,5.0,9,"Recomendado para   voces. | Formato:estudio. | Cable de 0cm. | Conector/es de salida:xlr. | Frecuencia máxima: 17kHz. | Frecuencia mínima: 60Hz. | Elemento indispensable para tu estudio de grabación. | Incluye: 1 adaptador de 3/8"" a 5/8"".",https://www.mercadolibre.com.co/microfono-shure-classic-super-55-dinamico-supercardioide-color-plateados/p/mco15163125
Micrófono Usb Mv7+-k-bndl Shure,1650000,5.0,5,,https://click1.mercadolibre.com.co/mclics/clicks/external/mco/count?a=y0e4ez%2fze6gnyx7lxfoomzv87khdlohfdrsaspegkgcnu%2bbtozkmxoj2fspensqy6qaofri9bz0fc0hhwuectdfbicytqu2cmjpb2rvxwmwuttisdiwfafx7cogdkx2se%2bm20raiyxlcmieq42x2xjxxt4nnebxdn1e49v8qmefxlbywmosefas9bgylligluekrkfezxmtjhn0ynb0klaaogkbvbten8l2%2bnhmz37irb%2bzjnxnthqv5%2b3wf9o%2bq9488egpokc23akpsrbqvmrbtc4hliobwg3%2f7px5ws%2bgamu54iklynyssa9wbdghlew2dh7lwv97ekq65diixsvrsto%2fqzsb7bbz2pw01c1skbzkmbf8pkdvg4effprxyiomhfr9wxs52sv7htjccrpsko4n1hi5fuyuezmvheikgr5uvmzec0q%2f8c3cnyuoj%2biwe6dngz9ys3sd9yc6xs%2b9kwll9nsw1wuzvfd9d8tex4roafenjv28sf9ljnow1dupiheugvcvp2vh7s9kv5pqg2dbyztdvhnq8xujk0gspky9yeftxds1cct%2ba0n9mwr36s5xazoehlizuenbzc8y62itkqlbya7y%2fcmocgfrepn%2bpumuvtdjqvsgdvp38jtph6g2yv%2bqmunb2wfaphceox4mnolpfxthnfbjijyjffpuktnxfsvcgs%2foppgmqphzl4ozrjocsn%2f7zui4g%2bgrnexc7lhdli%2bqc0%2fjw8juxzlpjagjx9awyivciqza8cdvvybdlfwtzfm7tb6xdiqycfdgqsbmevvmxkh6kftqvkuqemqulhmxsuamtrcqhafpjexctq8lnuu0p9jc%2fj%2fu9dtxha1an9aa11mtqyw8cphzfhf6htlcogrylste1g%2bz9gkcnuuez0hmx9sihst2byiivuq%3d%3d&searchvariation=183152882397
Micrófono Shure Beta Beta 58A alámbrico,697000,4.6,20,Recomendado para   voces. | Formato:de mano. | Cable de 0cm. | Conector/es de salida:xlr. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: adaptador giratorio para pedestal. | Frecuencia máxima: 16 kHz.,https://www.mercadolibre.com.co/microfono-shure-beta-beta-58a-alambrico/p/mco15075061
Micrófono Inalámbrico Shure Blx14/b98-h9 Color Negro,1789000,5.0,3,Recomendado para   actuaciones. | Formato:instrumental. | Conector/es de salida:jack 6.3 mm. | Frecuencia máxima: 20kHz. | Frecuencia mínima: 20Hz. | Incluye: fuente de alimentación.,https://www.mercadolibre.com.co/microfono-inalambrico-shure-blx14b98-h9-color-negro/p/mco19877515
Sm58s Microfono Shure Dinamico Vocal Unidireccional,599000,4.7,3,Recomendado para  ensayo. | Formato:de mano. | Cable de 0cm. | Conector/es de salida:xlr. | Frecuencia máxima: 15kHz. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: bolsa de transporte.,https://www.mercadolibre.com.co/sm58s-microfono-shure-dinamico-vocal-unidireccional/p/mco22931007
Micrófono Shure Beta Beta 52A Dinámico Supercardioide color azul/plateadoS,909150,5.0,2,,https://www.mercadolibre.com.co/microfono-shure-beta-beta-52a-dinamico-supercardioide-color-azulplateados/p/mco16106691
Micrófono Shure Beta 57a Para Voz O Instrumento Cardioide Color Negro,871200,5.0,2,Recomendado para  instrumentos. | Formato:de mano. | Frecuencia mínima: 50Hz. | La mejor calidad para tus transmisiones. | Alta resolución. | Frecuencia máxima: 16 kHz.,https://www.mercadolibre.com.co/microfono-shure-beta-57a-para-voz-o-instrumento-cardioide-color-negro/p/mco28252441
Micrófono Shure Motiv MV51 Condensador Cardioide color plataS,420000,5.0,4,Recomendado para   grabaciones. | Formato:estudio. | Dispositivos compatibles: ipad. | Cable de 1m. | Conector/es de salida:usb. | Frecuencia máxima: 20kHz. | Frecuencia mínima: 20Hz. | Elemento indispensable para tu estudio de grabación.,https://www.mercadolibre.com.co/microfono-shure-motiv-mv51-condensador-cardioide-color-platas/p/mco8053399
Micrófono Dinámico Shure Pga48 Vocal Cardioide Profesional Color Negro,129900,4.8,109,Recomendado para   actuaciones. | Formato:de mano. | Cable de 0cm. | Conector/es de salida:xlr-3. | Frecuencia mínima: 70Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: adaptador de soporte. | Frecuencia máxima: 15 kHz.,https://www.mercadolibre.com.co/microfono-dinamico-shure-pga48-vocal-cardioide-profesional-color-negro/p/mco24524886
Sistema De Microfono Inalambrico Uhf Transmisor Profesional,130000,4.0,2,,https://articulo.mercadolibre.com.co/mco-2750125888-sistema-de-microfono-inalambrico-uhf-transmisor-profesional-_jm?searchvariation=182305183544
Sistema Inalámbrico Micrófono Instrumento Shure Slxd14/98h Color Negro,199990,5.0,1,,https://www.mercadolibre.com.co/sistema-inalambrico-microfono-instrumento-shure-slxd1498h-color-negro/p/mco28007361
Kit De Micrófono Shure Sm57 + Base Y Cable Proel,664200,5.0,9,,https://articulo.mercadolibre.com.co/mco-984506920-kit-de-microfono-shure-sm57-base-y-cable-proel-_jm?searchvariation=175439908479
Micrófono Usb Mv7+-k-bndl Shure,1650000,5.0,5,,https://articulo.mercadolibre.com.co/mco-1437136611-microfono-usb-mv7-k-bndl-shure-_jm?searchvariation=183152882397
Micrófono Inalámbrico Shure Blx24r/sm58-h9 Rackeable,2272000,5.0,1,,https://articulo.mercadolibre.com.co/mco-619584787-microfono-inalambrico-shure-blx24rsm58-h9-rackeable-_jm?searchvariation=85532345481
Kit Microfono Sv200 Shure + Base Y Abrazadera Proel Lw Ms10,232100,4.8,8,,https://articulo.mercadolibre.com.co/mco-981321217-kit-microfono-sv200-shure-base-y-abrazadera-proel-lw-ms10-_jm?searchvariation=175417603517
Micrófono Shure Mv7 Dinámico Unidireccional Usb/xlr,54990,5.0,1,,https://articulo.mercadolibre.com.co/mco-1433212979-microfono-shure-mv7-dinamico-unidireccional-usbxlr-_jm?searchvariation=180634666888
Kit Microfono Sv100 Shure + Base Y Abrazadera Proel Lw Ms10,211800,5.0,4,,https://articulo.mercadolibre.com.co/mco-980780448-kit-microfono-sv100-shure-base-y-abrazadera-proel-lw-ms10-_jm?searchvariation=175416878578
Micrófono Condensador Para Instrumentos Shure Beta91a,1392000,5.0,1,,https://articulo.mercadolibre.com.co/mco-619584665-microfono-condensador-para-instrumentos-shure-beta91a-_jm?searchvariation=83670850209
Shure Sv100 Micrófono De Mano Para Voces En Vivo / Sv 100,110900,4.0,1,,https://articulo.mercadolibre.com.co/mco-566144175-shure-sv100-microfono-de-mano-para-voces-en-vivo-sv-100-_jm?searchvariation=57845908390
Micrófono De Diadema Mini Plug 3.5 Para  Sennheiser Shure,90000,4.5,2,,https://articulo.mercadolibre.com.co/mco-1936511946-microfono-de-diadema-mini-plug-35-para-sennheiser-shure-_jm?searchvariation=180078928721
Sistema De Microfono Inalambrico Uhf Transmisor Profesional,130000,4.0,2,,https://click1.mercadolibre.com.co/mclics/clicks/external/mco/count?a=fro9apblfrjkrlf2mxdbuw1ayvbzdkrxqkuapxtxbtufsia5usja5up6lynl5fc42jguurriyla8p%2flpa0ukdpc7kxfhsdt3fprb5gbtmymuppj%2bi0eqrxdor1bzk8ayab2n67%2fh3mgmhxcxqlyhlm6zjuryj7hlfbsemxg00i4qpsxhjmrakcvnarlv3fnrwrcpz%2fd5py6wmymmjmletf8g7elqkcsa%2ffg5%2f%2bpfkekg4hsbril%2boy3eivofzuc9rksf3sxlpvrk0dxaqpf5ibc7trmoq41h3jjwt%2fhgzw1%2b%2f9ifsnxv7pjwu0k4ayvsumgmeopd2ldjz%2fis2odorz6kh11eaijvkrbxvnmlgd4moz1iachgago8d%2bop1somc8h%2fls0%2bb7kwpambpgbensgw%2bmyyjttjxlmrvnq%2fliwiesv%2f5vmd47ibi5%2fuzpxxrqgzy67vdhasdvia4ab7kobxl%2bygv0vof3x2f8nxe43te9imxm4shvafgzgab%2fkmzcnc3aqguvrv%2buyvzu%2f6gcifhoqksmrftabfshriih0zh1me5nvyw1q%2fptt2%2ftn2brqqegpo8o3qcztv1jtmeavt8oscvtjonezsf8pdn6%2bfw7bbojlc1t50ahvctr%2fwkunvtov8nmojxl3soxwf6urwftzvcoo85ehrsa2urcx%2fl2e7sla0vljp5izqu9iep5w3%2fsgxq8jl02klowwv9yt52vajlz6xwdtgonwgsq8jbsml%2bgbz9xzo6qxapdaddliyuqh6ed8wosfaxtzigtwz%2fgy7%2ff5nqngvjyx1gwmodrlayjjf0gunawmnkedbtpen20n0gp5fsvpvfhah2whgkqrv1b1pw9a25ordxh079mts93wfozsvkvgt&searchvariation=182305183544
Micrófono Vocal Shure Pga58-xlr Dinámico Cardioide,374200,5.0,5,,https://articulo.mercadolibre.com.co/mco-619584757-microfono-vocal-shure-pga58-xlr-dinamico-cardioide-_jm?searchvariation=83416128802
Kit De 2 Micrófonos Shure Sv200 Vocal Dinámico,294000,5.0,3,,https://articulo.mercadolibre.com.co/mco-1385485926-kit-de-2-microfonos-shure-sv200-vocal-dinamico-_jm?searchvariation=177272649240
"Micrófono De Diadema Shure Sm31fh-tqg, Conector Tqg",565300,4.7,3,,https://articulo.mercadolibre.com.co/mco-619584839-microfono-de-diadema-shure-sm31fh-tqg-conector-tqg-_jm?searchvariation=84775456021
Kit Micrófono Shure Sm58 + Base Y Cable Proel,697000,4.8,6,,https://articulo.mercadolibre.com.co/mco-984519089-kit-microfono-shure-sm58-base-y-cable-proel-_jm?searchvariation=175439818169
Kit Microfono Shure Sm58-lc + Cable Proel Xlr Bulk250lu6,625000,5.0,6,,https://articulo.mercadolibre.com.co/mco-1390895036-kit-microfono-shure-sm58-lc-cable-proel-xlr-bulk250lu6-_jm?searchvariation=177479938823
Micrófono Shure Sm58 Dinámico Cardioide Para Voces,625000,4.9,71,Recomendado para  grabaciones. | Formato:de mano. | Cable de 0cm. | Conector/es de salida:xlr-3. | Frecuencia máxima: 15kHz. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: 1 adaptador de soporte.,https://www.mercadolibre.com.co/microfono-shure-sm58-dinamico-cardioide-para-voces/p/mco23123485
Micrófono Dinámico Para Instrumentos Shure Sm57-lc,547200,5.0,9,,https://articulo.mercadolibre.com.co/mco-619584776-microfono-dinamico-para-instrumentos-shure-sm57-lc-_jm?searchvariation=83592058087
Micrófono Shure PG Alta PGA98H-TQG Condensador CardioideS,772000,5.0,1,Recomendado para  intrumentos viento-metal. | Formato:estudio. | Frecuencia máxima: 20kHz. | Frecuencia mínima: 60Hz. | Elemento indispensable para tu estudio de grabación.,https://www.mercadolibre.com.co/microfono-shure-pg-alta-pga98h-tqg-condensador-cardioides/p/mco7565583
Kit Microfono Sv200 Shure + Base Y Abrazadera Proel Lw Ms10,232100,5.0,1,,https://articulo.mercadolibre.com.co/mco-1998488896-kit-microfono-sv200-shure-base-y-abrazadera-proel-lw-ms10-_jm?searchvariation=179115671906
Micrófono Condensador Con Mic De Pinza Shure Pga98h-xlr,772000,5.0,8,,https://articulo.mercadolibre.com.co/mco-619584780-microfono-condensador-con-mic-de-pinza-shure-pga98h-xlr-_jm?searchvariation=84547437051
Kit De 4 Micrófonos Shure Sv200 Vocal Dinámico,588000,5.0,2,,https://articulo.mercadolibre.com.co/mco-1385575078-kit-de-4-microfonos-shure-sv200-vocal-dinamico-_jm?searchvariation=177272667366
Kit Micrófonos De Batería Shure Dmk57-52 Color Negro,469900,5.0,2,Recomendado para  bateria. | Incluye 4 micrófonos. | Formato:estudio. | Cable de 0cm. | Frecuencia máxima: 15kHz. | Frecuencia mínima: 10Hz. | Elemento indispensable para tu estudio de grabación. | Incluye: 3 monturas de batería.,https://www.mercadolibre.com.co/kit-microfonos-de-bateria-shure-dmk57-52-color-negro/p/mco20653520
Micrófono Vocal Shure Pga58-lc Dinámico Cardioide,335800,4.7,15,,https://articulo.mercadolibre.com.co/mco-619584805-microfono-vocal-shure-pga58-lc-dinamico-cardioide-_jm?searchvariation=85532829158
"Micrófono de mano profesional cardioide Shure Sm58 Lc, color negro",99990,4.9,71,Se recomienda para presentaciones. | Formato: portátil. | Conector (es) de salida: xlr-3. | Frecuencia mínima: 50 Hz. | Incluye: 1 adaptador de soporte. | La mejor calidad para tus transmisiones. | Alta resolución. | Frecuencia máxima: 15 kHz.,https://www.mercadolibre.com.co/microfono-de-mano-profesional-cardioide-shure-sm58-lc-color-negro/p/mco24139522
Micrófono Shure Sv200 Alambrico Sv-200 Original Estudio,152000,4.9,29,,https://articulo.mercadolibre.com.co/mco-563192413-microfono-shure-sv200-alambrico-sv-200-original-estudio-_jm?searchvariation=80929634790
Sistema De Micrófonos Inalámbricos Transmisor Receptor Bomge,124950,4.6,5,,https://articulo.mercadolibre.com.co/mco-1440145283-sistema-de-microfonos-inalambricos-transmisor-receptor-bomge-_jm?searchvariation=180771728556
Micrófono Inalámbrico Shure Blx288/sm58-h9 Receptor Doble,3721000,5.0,1,,https://articulo.mercadolibre.com.co/mco-619584661-microfono-inalambrico-shure-blx288sm58-h9-receptor-doble-_jm?searchvariation=83670404505
Micrófono Vocal Dinámico Shure Sv200,294000,5.0,2,,https://articulo.mercadolibre.com.co/mco-1998463054-microfono-vocal-dinamico-shure-sv200-_jm
Micrófono Shure Motiv MV7 Dinámico Unidireccional color negro,1966000,4.4,7,"Recomendado para   grabaciones. | Formato:de mesa. | Cable de 3m. | Conector/es de salida:3.5 mm. | Frecuencia máxima: 20kHz. | Frecuencia mínima: 20Hz. | Adaptable a cualquier medio donde se lo ubique. | Incluye: 1 cable micro-b a usb-a dato actual del producto: ""1 cable micro-b a usb-c.",https://www.mercadolibre.com.co/microfono-shure-motiv-mv7-dinamico-unidireccional-color-negro/p/mco16255476
